listing name,room,confirmation,status,check in,check out,total payout
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMQXBACNYE,Canceled by guest,"May 12, 2023","May 14, 2023",0.00
Jacuzzi in bedroom* No WIFI Getaway House* Fritz, Fritz,HMDDCPHTWD,Canceled by guest,"Mar 31, 2023","Apr 2, 2023",269.08
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMP5CQAKXF,Canceled by guest,"Mar 31, 2023","Apr 2, 2023",0.00
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMWWQ4RJKP,Canceled by Airbnb,"Mar 22, 2023","Mar 27, 2023",0.00
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMMCP52CWA,Canceled by guest,"Mar 17, 2023","Mar 19, 2023",0.00
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMXH3P4P2M,Canceled by guest,"Mar 11, 2023","Mar 13, 2023",0.00
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HM2CJ83SWF,Canceled by guest,"Mar 5, 2023","Mar 8, 2023",0.00
Sleep7*Contemporary*Fireplace*65TV*WIFI*Deck*Franz,Franz,HMTPXCW4CJ,Canceled by guest,"Feb 17, 2023","Feb 19, 2023",0.00
Discard: Anna,Discard: Anna,HMXSP4XXRB,Canceled by guest,"Feb 17, 2023","Feb 19, 2023",0.00
Discard: Elsa,Discard: Elsa,HMC59JMA3Q,Canceled by guest,"Jan 19, 2023","Jan 21, 2023",0.00
Discard: Casp,Discard: Casp,HMXARBH23X,Canceled by guest,"Jan 12, 2023","Jan 15, 2023",47.95
Discard: Casp,Discard: Casp,HM9M5YKPMC,Canceled by Airbnb,"Dec 31, 2022","Jan 3, 2023",0.00
Discard: Anna,Discard: Anna,HMQPPPB3H4,Canceled by Airbnb,"Dec 31, 2022","Jan 2, 2023",0.00
Discard: Heidi,Discard: Heidi,HMKDEMQX99,Canceled by Airbnb,"Dec 31, 2022","Jan 2, 2023",0.00
Discard: Anna,Discard: Anna,HMCAD9MEC5,Canceled by guest,"Dec 31, 2022","Jan 2, 2023",0.00
Discard: Franz,Discard: Franz,HM24M4Y9RD,Canceled by Airbnb,"Dec 30, 2022","Jan 2, 2023",0.00
Discard: Gretel,Discard: Gretel,HMK995C58Y,Canceled by Airbnb,"Dec 30, 2022","Jan 2, 2023",48.75
Discard: Franz,Discard: Franz,HMY2AMHSKB,Canceled by guest,"Dec 30, 2022","Jan 2, 2023",0.00
Discard: Franz,Discard: Franz,HM4TQ8EPX9,Canceled by Airbnb,"Dec 30, 2022","Jan 1, 2023",0.00
Discard: Elsa,Discard: Elsa,HMC3TFZWH5,Canceled by Airbnb,"Dec 29, 2022","Jan 1, 2023",38.28
Discard: Heidi,Discard: Heidi,HMQBBY3Q95,Canceled by Airbnb,"Dec 26, 2022","Dec 31, 2022",0.00
Discard: Anna,Discard: Anna,HMZZCRJJB5,Canceled by Airbnb,"Dec 26, 2022","Dec 30, 2022",0.00
Discard: Elsa,Discard: Elsa,HMKQRXJQEH,Canceled by Airbnb,"Dec 26, 2022","Dec 29, 2022",0.00
Discard: Casp,Discard: Casp,HMCHNDQHPT,Canceled by Airbnb,"Dec 26, 2022","Dec 28, 2022",0.00
Discard: Franz,Discard: Franz,HMJHHHBB8N,Canceled by guest,"Dec 24, 2022","Dec 27, 2022",0.00
Discard: Franz,Discard: Franz,HMBJ85KKEM,Canceled by Airbnb,"Dec 24, 2022","Dec 26, 2022",0.00
Discard: Anna,Discard: Anna,HMKM8FPTCH,Canceled by guest,"Dec 24, 2022","Dec 26, 2022",0.00
Discard: Franz,Discard: Franz,HMMJH2MZXB,Canceled by guest,"Dec 23, 2022","Dec 26, 2022",0.00
Discard: Elsa,Discard: Elsa,HMFQ89KJDA,Canceled by guest,"Dec 23, 2022","Dec 25, 2022",0.00
Discard: Elsa,Discard: Elsa,HMHJDBXMJS,Canceled by guest,"Dec 22, 2022","Dec 26, 2022",0.00
Discard: Casp,Discard: Casp,HMAYBESYHS,Canceled by guest,"Dec 22, 2022","Dec 25, 2022",0.00
Discard: Franz,Discard: Franz,HMXA2R4QXX,Canceled by guest,"Dec 22, 2022","Dec 24, 2022",0.00
Discard: Casp,Discard: Casp,HMH2CBYJPT,Canceled by guest,"Dec 20, 2022","Dec 26, 2022",724.07
Discard: Elsa,Discard: Elsa,HMRSATP2YN,Canceled by guest,"Dec 16, 2022","Dec 19, 2022",0.00
Discard: Elsa,Discard: Elsa,HMA2DHMZKJ,Canceled by guest,"Dec 8, 2022","Dec 10, 2022",181.87
Discard: Elsa,Discard: Elsa,HM4MX2XCTE,Canceled by guest,"Dec 1, 2022","Dec 3, 2022",0.00
Discard: Elsa,Discard: Elsa,HM2W5TD3MK,Canceled by guest,"Nov 10, 2022","Nov 13, 2022",529.74
Discard: Elsa,Discard: Elsa,HMA5C93SFB,Canceled by guest,"Nov 7, 2022","Nov 9, 2022",0.00
Discard: Franz,Discard: Franz,HM5WB9BMWT,Canceled by guest,"Nov 5, 2022","Nov 8, 2022",0.00
Discard: Elsa,Discard: Elsa,HMFA5HKY34,Canceled by guest,"Oct 28, 2022","Oct 30, 2022",0.00
Discard: Elsa,Discard: Elsa,HMRYADRYZH,Canceled by guest,"Oct 25, 2022","Oct 27, 2022",0.00
Discard: Casp,Discard: Casp,HMWHSJ2QT8,Canceled by guest,"Sep 23, 2022","Sep 25, 2022",0.00
Discard: Anna,Discard: Anna,HMJQT4N4DW,Canceled by guest,"Sep 2, 2022","Sep 4, 2022",0.00
Discard: Anna,Discard: Anna,HMWX4AFFRC,Canceled by guest,"Aug 12, 2022","Aug 14, 2022",0.00
Discard: Franz,Discard: Franz,HM2WERX98K,Canceled by guest,"Aug 5, 2022","Aug 7, 2022",0.00
Discard: Casp,Discard: Casp,HMDR4NK2ND,Canceled by Airbnb,"Aug 4, 2022","Aug 31, 2022",0.00
Discard: Elsa,Discard: Elsa,HMQACPRPDS,Canceled by guest,"Jun 24, 2022","Jun 26, 2022",0.00
Discard: Hansel,Discard: Hansel,HMZD3YN9Y4,Canceled by guest,"Jun 19, 2022","Jun 24, 2022",0.00
Discard: Hansel,Discard: Hansel,HMNQQQQSSC,Canceled by guest,"Jun 17, 2022","Jun 19, 2022",0.00
Discard: Anna,Discard: Anna,HMJPQ9C3H5,Canceled by guest,"Jun 5, 2022","Jun 7, 2022",0.00
Discard: Elsa,Discard: Elsa,HM293ZXBQW,Canceled by guest,"May 28, 2022","May 30, 2022",0.00
Discard: Heidi,Discard: Heidi,HMYHBXEFNB,Canceled by guest,"May 20, 2022","May 22, 2022",0.00
Discard: Elsa,Discard: Elsa,HM3T9533XM,Canceled by guest,"May 19, 2022","May 22, 2022",0.00
Discard: Franz,Discard: Franz,HMHDNB59AH,Canceled by guest,"May 12, 2022","May 15, 2022",0.00
Discard: Elsa,Discard: Elsa,HMCFD4S2J5,Canceled by guest,"Apr 8, 2022","Apr 10, 2022",0.00
Discard: Heidi,Discard: Heidi,HMWEDPZWTS,Canceled by guest,"Mar 21, 2022","Mar 25, 2022",71.94
Discard: Gretel,Discard: Gretel,HM98RC9WMH,Canceled by guest,"Mar 19, 2022","Mar 21, 2022",97.97
Discard: Elsa,Discard: Elsa,HMCKBNE4J2,Canceled by guest,"Feb 25, 2022","Feb 27, 2022",0.00
Discard: Franz,Discard: Franz,HM2TWE4PBT,Canceled by guest,"Feb 24, 2022","Feb 26, 2022",82.62
Discard: Franz,Discard: Franz,HMWRPYTPMH,Canceled by guest,"Feb 17, 2022","Feb 20, 2022",0.00
Discard: Elsa,Discard: Elsa,HM9RR4ZYDX,Canceled by guest,"Feb 11, 2022","Feb 13, 2022",0.00
Discard: Franz,Discard: Franz,HMKK4ED8KB,Canceled by guest,"Jan 27, 2022","Jan 30, 2022",0.00
Discard: Anna,Discard: Anna,HMZRJKAX8A,Canceled by guest,"Jan 14, 2022","Jan 16, 2022",109.00
Discard: Hansel,Discard: Hansel,HMRMHKTEEA,Canceled by guest,"Jan 10, 2022","Jan 13, 2022",0.00
Discard: Elsa,Discard: Elsa,HM8HYCPTTF,Canceled by guest,"Jan 6, 2022","Jan 8, 2022",0.00
Discard: Anna,Discard: Anna,HMSTTFD9RC,Canceled by guest,"Dec 27, 2021","Dec 30, 2021",0.00
Discard: Hansel,Discard: Hansel,HMCQE3AHP5,Canceled by Airbnb,"Dec 24, 2021","Dec 28, 2021",0.00
Discard: Elsa,Discard: Elsa,HMF84JKPHN,Canceled by guest,"Dec 23, 2021","Dec 26, 2021",0.00
Discard: Elsa,Discard: Elsa,HMJAXM5KDE,Canceled by Airbnb,"Dec 23, 2021","Dec 26, 2021",0.00
Discard: Hansel,Discard: Hansel,HMT9RASCRM,Canceled by guest,"Dec 17, 2021","Dec 31, 2021",0.00
Discard: Hansel,Discard: Hansel,HM38XEZ9YR,Canceled by guest,"Dec 17, 2021","Dec 21, 2021",0.00
Discard: Heidi,Discard: Heidi,HMPEAHBQXN,Canceled by guest,"Dec 17, 2021","Dec 19, 2021",0.00
Discard: Elsa,Discard: Elsa,HMEJJTPPHJ,Canceled by guest,"Dec 17, 2021","Dec 19, 2021",0.00
Discard: Franz,Discard: Franz,HMXQQ83CCM,Canceled by guest,"Nov 24, 2021","Nov 27, 2021",0.00
Discard: Elsa,Discard: Elsa,HMJ9XXENPC,Canceled by guest,"Nov 5, 2021","Nov 7, 2021",0.00
Discard: Heidi,Discard: Heidi,HMC9CZTRHY,Canceled by guest,"Oct 20, 2021","Oct 24, 2021",0.00
Discard: Anna,Discard: Anna,HMMW4PZARP,Canceled by guest,"Oct 15, 2021","Oct 17, 2021",0.00
Discard: Franz,Discard: Franz,HM4SHMHMZC,Canceled by guest,"Sep 6, 2021","Sep 8, 2021",0.00
Discard: Elsa,Discard: Elsa,HMYZCTM928,Canceled by guest,"Aug 13, 2021","Aug 15, 2021",0.00
Discard: Heidi,Discard: Heidi,HMSSEPEFJX,Canceled by guest,"Jul 24, 2021","Jul 26, 2021",0.00
Discard: Franz,Discard: Franz,HMJZKRDKXS,Canceled by guest,"Jul 23, 2021","Jul 25, 2021",0.00
Discard: Elsa,Discard: Elsa,HM3HPFEFRD,Canceled by guest,"Jul 19, 2021","Jul 23, 2021",0.00
Discard: Anna,Discard: Anna,HM843FH9PD,Canceled by guest,"Jul 16, 2021","Jul 18, 2021",0.00
Discard: Heidi,Discard: Heidi,HMBK4H3HEY,Canceled by guest,"Jul 16, 2021","Jul 18, 2021",0.00
Discard: Elsa,Discard: Elsa,HMZHR2KEJE,Canceled by guest,"Jun 4, 2021","Jun 6, 2021",0.00
Discard: Elsa,Discard: Elsa,HM822S5WE3,Canceled by guest,"May 20, 2021","May 23, 2021",0.00
Discard: Elsa,Discard: Elsa,HMBBSHXZRT,Canceled by guest,"May 14, 2021","May 16, 2021",0.00
Discard: Anna,Discard: Anna,HMRF4PEC5P,Canceled by guest,"Apr 23, 2021","Apr 25, 2021",203.70
Discard: Hansel,Discard: Hansel,HMRAFNYCQ5,Canceled by guest,"Apr 16, 2021","Apr 19, 2021",0.00
Discard: Hansel,Discard: Hansel,HMCH5W9ZNH,Canceled by guest,"Apr 8, 2021","Apr 10, 2021",0.00
Discard: Heidi,Discard: Heidi,HMFSDT999M,Canceled by guest,"Mar 19, 2021","Mar 21, 2021",0.00
Discard: Heidi,Discard: Heidi,HM9EPE9EFP,Canceled by guest,"Feb 19, 2021","Feb 21, 2021",203.70
Discard: Elsa,Discard: Elsa,HMB8TKZ85Z,Canceled by guest,"Feb 19, 2021","Feb 21, 2021",0.00
Discard: Franz,Discard: Franz,HMDRJXMB8X,Canceled by guest,"Feb 13, 2021","Feb 15, 2021",0.00
Discard: Heidi,Discard: Heidi,HMCSAYBC29,Canceled by guest,"Feb 12, 2021","Feb 14, 2021",203.70
Discard: Elsa,Discard: Elsa,HM48H5J524,Canceled by guest,"Feb 12, 2021","Feb 14, 2021",0.00
Discard: Elsa,Discard: Elsa,HMSRTJSQ3K,Canceled by guest,"Feb 5, 2021","Feb 7, 2021",0.00
Discard: Franz,Discard: Franz,HM4BPQJ9KY,Canceled by guest,"Jan 14, 2021","Jan 16, 2021",0.00
Discard: Elsa,Discard: Elsa,HMWNJW5DZC,Canceled by guest,"Jan 8, 2021","Jan 10, 2021",0.00
Discard: Anna,Discard: Anna,HMZEYRH83T,Canceled by guest,"Dec 30, 2020","Jan 2, 2021",0.00
Discard: Hansel,Discard: Hansel,HMTQ8RBEMC,Canceled by guest,"Dec 29, 2020","Jan 2, 2021",0.00
Discard: Heidi,Discard: Heidi,HMSN8NZCTZ,Canceled by guest,"Dec 27, 2020","Dec 30, 2020",0.00
Discard: Hansel,Discard: Hansel,HMXF2JBDM4,Canceled by Airbnb,"Dec 24, 2020","Dec 30, 2020",0.00
Discard: Elsa,Discard: Elsa,HMTS3QZSAW,Canceled by guest,"Dec 24, 2020","Dec 27, 2020",0.00
Discard: Elsa,Discard: Elsa,HMMXJZ3RD3,Canceled by guest,"Dec 19, 2020","Dec 24, 2020",0.00
Discard: Elsa,Discard: Elsa,HM4NSJMAPF,Canceled by guest,"Dec 19, 2020","Dec 22, 2020",0.00
Discard: Hansel,Discard: Hansel,HMDNPSYR8P,Canceled by guest,"Dec 18, 2020","Dec 23, 2020",0.00
Discard: Anna,Discard: Anna,HM2F4Z2RX5,Canceled by guest,"Dec 18, 2020","Dec 22, 2020",0.00
Discard: Anna,Discard: Anna,HM3T22AXEN,Canceled by guest,"Dec 18, 2020","Dec 20, 2020",0.00
Discard: Heidi,Discard: Heidi,HMFE95Z494,Canceled by guest,"Dec 4, 2020","Dec 6, 2020",0.00
Discard: Elsa,Discard: Elsa,HMS34FHWZA,Canceled by guest,"Nov 20, 2020","Nov 23, 2020",0.00
Discard: Franz,Discard: Franz,HMBJMBMP2R,Canceled by guest,"Nov 19, 2020","Nov 22, 2020",0.00
Discard: Franz,Discard: Franz,HMYJC8MY39,Canceled by guest,"Nov 13, 2020","Nov 15, 2020",0.00
Discard: Elsa,Discard: Elsa,HMHMJ8ABPE,Canceled by guest,"Nov 9, 2020","Nov 12, 2020",0.00
Discard: Franz,Discard: Franz,HM28HAWCMA,Canceled by guest,"Nov 6, 2020","Nov 8, 2020",0.00
Discard: Franz,Discard: Franz,HMBBRJPES4,Canceled by guest,"Nov 3, 2020","Nov 17, 2020",0.00
Discard: Elsa,Discard: Elsa,HMA53D49SH,Canceled by Airbnb,"Oct 30, 2020","Nov 2, 2020",0.00
Discard: Hansel,Discard: Hansel,HMXBQNHMHW,Canceled by guest,"Oct 19, 2020","Oct 23, 2020",0.00
Discard: Elsa,Discard: Elsa,HMHWWYC9SY,Canceled by guest,"Sep 25, 2020","Sep 27, 2020",0.00
