listing name,room,confirmation,status,check in,check out,total payout
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMTYQ8KRKT,Review guest,"Mar 28, 2023","Apr 2, 2023",577.07
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HM8MEW8XBT,Review guest,"Mar 29, 2023","Mar 31, 2023",260.93
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HM8NZCPS5Z,Review guest - Expires soon,"Mar 24, 2023","Mar 28, 2023",616.11
Sleep7*Contemporary*Fireplace*65TV*WIFI*Deck*Franz,Franz,HMPJPYSDER,Review guest - Expires soon,"Mar 25, 2023","Mar 28, 2023",487.91
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMPWBKQEPB,Review guest - Expires soon,"Mar 24, 2023","Mar 27, 2023",400.78
Jacuzzi in bedroom* King* Fireplace* WIFI* Heidi, Heidi,HMNR3YBJZS,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",294.34
Jacuzzi in bedroom* No WIFI Getaway House* Fritz, Fritz,HMBW5N5B8M,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",328.83
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMAADE9SWK,Review guest - Expires soon,"Mar 23, 2023","Mar 26, 2023",414.00
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMJ2DM8CAY,Review guest - Expires soon,"Mar 23, 2023","Mar 26, 2023",467.77
Fireplace*Sleep4* WIFI* MountainView* Grill*Gretel,Gretel,HM3PC3FPPJ,Review guest - Expires soon,"Mar 23, 2023","Mar 25, 2023",266.26
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMZZFPBT8M,Review guest - Expires soon,"Mar 18, 2023","Mar 21, 2023",505.33
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMPHK3PNAF,Past guest,"Mar 17, 2023","Mar 20, 2023",441.31
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMHQNF5QRT,Past guest,"Mar 15, 2023","Mar 19, 2023",913.74
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMBZBEZ3M3,Past guest,"Mar 17, 2023","Mar 18, 2023",191.67
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HM5FWK4HHR,Past guest,"Mar 15, 2023","Mar 17, 2023",229.11
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMWKZ53DRR,Trip change sent,"Mar 15, 2023","Mar 17, 2023",362.78
Fireplace*Sleep4* WIFI* MountainView* Grill*Gretel,Gretel,HMYTND9BFR,Past guest,"Mar 14, 2023","Mar 17, 2023",414.19
Sleep7*Contemporary*Fireplace*65TV*WIFI*Deck*Franz,Franz,HMWYX28T2E,Past guest,"Mar 11, 2023","Mar 17, 2023","1,008.80"
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMXYAX4NYN,Past guest,"Mar 14, 2023","Mar 15, 2023",179.72
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMRDF2NQNH,Past guest,"Mar 13, 2023","Mar 15, 2023",251.23
Jacuzzi in bedroom* King* Fireplace* WIFI* Heidi, Heidi,HMNX4MM3NK,Past guest,"Mar 11, 2023","Mar 14, 2023",482.28
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMPCWESC8D,Past guest,"Mar 11, 2023","Mar 13, 2023",283.24
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMBN8B3YZR,Past guest,"Mar 10, 2023","Mar 13, 2023",472.48
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMHFFJRHN2,Past guest,"Mar 10, 2023","Mar 13, 2023",843.90
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMX3QPBC2B,Past guest,"Mar 10, 2023","Mar 12, 2023",431.46
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMRDK5KJCN,Past guest,"Feb 8, 2023","Mar 11, 2023","1,941.94"
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMMMKYWMPA,Past guest,"Mar 7, 2023","Mar 10, 2023",475.30
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HME2RXJS8Q,Past guest,"Mar 6, 2023","Mar 10, 2023",356.57
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HM52K5HS44,Past guest,"Mar 5, 2023","Mar 7, 2023",310.40
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HM585FS2SH,Past guest,"Mar 3, 2023","Mar 6, 2023",441.31
Jacuzzi in bedroom* No WIFI Getaway House* Fritz, Fritz,HM9TRY9RP2,Past guest,"Mar 3, 2023","Mar 5, 2023",271.60
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HM8HA8D3F9,Past guest,"Mar 3, 2023","Mar 5, 2023",359.87
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMXXK53TM3,Past guest,"Mar 1, 2023","Mar 5, 2023",701.50
Sleep7*Contemporary*Fireplace*65TV*WIFI*Deck*Franz,Franz,HMK2WTPQ3B,Past guest,"Feb 26, 2023","Mar 4, 2023",849.72
Fireplace*Sleep4* WIFI* MountainView* Grill*Gretel,Gretel,HMS3Q9HSX8,Past guest,"Feb 26, 2023","Mar 3, 2023",386.35
Discard: Anna,Discard: Anna,HMWH2ABDAQ,Past guest,"Feb 24, 2023","Feb 28, 2023",435.37
Jacuzzi in bedroom* No WIFI Getaway House* Fritz, Fritz,HMT8MHF92A,Past guest,"Feb 24, 2023","Feb 26, 2023",213.79
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMR8D8YDYC,Past guest,"Feb 24, 2023","Feb 26, 2023",397.70
Jacuzzi in bedroom* King* Fireplace* WIFI* Heidi, Heidi,HMWEXY9HER,Past guest,"Feb 24, 2023","Feb 26, 2023",252.20
Fireplace*Sleep4* WIFI* MountainView* Grill*Gretel,Gretel,HMES3SZNPQ,Past guest,"Feb 24, 2023","Feb 26, 2023",223.10
