listing name,room,confirmation,status,check in,check out,total payout
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMRYE5ZENY,Review guest,"Mar 31, 2023","Apr 3, 2023",432.44
Fireplace*Sleep4* WIFI* MountainView* Grill*Gretel,Gretel,HMJBD9ZE8C,Review guest,"Mar 31, 2023","Apr 3, 2023",431.77
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMPQSTCZJN,Currently hosting,"Mar 31, 2023","Apr 5, 2023",762.81
Jacuzzi in bedroom* King* Fireplace* WIFI* Heidi, Heidi,HMESP8TNWJ,Review guest,"Apr 1, 2023","Apr 3, 2023",290.52
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMBEAERKA3,Review guest,"Apr 1, 2023","Apr 3, 2023",414.40
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMXH5S3X8K,Currently hosting,"Apr 3, 2023","Apr 5, 2023",378.30
Jacuzzi in bedroom* King* Fireplace* WIFI* Heidi, Heidi,HMB9QRAPDY,Currently hosting,"Apr 3, 2023","Apr 6, 2023",332.90
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HM8C43DR9A,Currently hosting,"Apr 3, 2023","Apr 7, 2023",540.48
Sleep7*Contemporary*Fireplace*65TV*WIFI*Deck*Franz,Franz,HMQ2ZJJX84,Arriving in 3 days,"Apr 6, 2023","Apr 9, 2023",473.36
Sleep9* Hot tub* Pool* Foosball * PS4* Grill* Casp, Casp,HMZCMXNHXC,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",533.50
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMMA5QTWTX,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",320.10
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HM24SEHT4A,Arriving in 4 days,"Apr 7, 2023","Apr 10, 2023",560.74
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMDCQZCCK9,Arriving in 4 days,"Apr 7, 2023","Apr 12, 2023",569.51
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMSHTMP3TN,Confirmed,"Apr 11, 2023","Apr 14, 2023",365.34
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HM4FSA8SSX,Confirmed,"Apr 14, 2023","Apr 16, 2023",357.48
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HM3CZ5M5JC,Confirmed,"Apr 15, 2023","Apr 18, 2023",388.97
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMETTDQBN8,Confirmed,"Apr 16, 2023","Apr 22, 2023",587.57
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMD4S9DSJ5,Confirmed,"Apr 20, 2023","Apr 24, 2023",468.51
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMB2Q45T95,Confirmed,"Apr 20, 2023","Apr 25, 2023",717.80
Jacuzzi in-bedroom* Fireplace *King *WIFI* Anna, Anna,HMENC3T3AA,Confirmed,"Apr 24, 2023","Apr 28, 2023",499.61
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMQJQRQZQ2,Confirmed,"Apr 27, 2023","May 1, 2023",491.27
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMFEQWXJB2,Confirmed,"May 2, 2023","May 7, 2023",540.17
Fireplace* King* Laundry* WIFI* Hansel, Hansel,HMNZYESWQ3,Confirmed,"May 5, 2023","May 7, 2023",321.07
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMHBPWQJ2D,Confirmed,"May 13, 2023","May 15, 2023",345.32
8 Cabins! Entire Campground w/ Event Lawn* Sleep30, Sleep30,HMBBKSSZBJ,Confirmed,"Jul 22, 2023","Jul 28, 2023","6,408.79"
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMDZ9C3E29,Confirmed,"Nov 9, 2023","Nov 12, 2023",524.96
8 Cabins! Entire Campground w/ Event Lawn* Sleep30, Sleep30,HMMKA3ZEMN,Confirmed,"Mar 14, 2024","Mar 17, 2024","4,384.40"
