listing name,room,confirmation,status,check in,check out,total payout
Beach Front*Sleep4*WIFI*Security*Laundry*Room-122,Room-122,HMZ3HJFYE8,Canceled by guest,"May 20, 2023","May 21, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-219,Room-219,HM5TKMDZ3Y,Canceled by guest,"May 18, 2023","May 21, 2023",0.00
OceanView*BeachFront*Sleep4*Full Kitchen*Room-110,Room-110,HMDNCZ5X2X,Canceled by guest,"Apr 7, 2023","Apr 9, 2023",0.00
Beach Front*Sleep4*WiFi*Security*Laundry*Room-202,Room-202,HMAYWAKBCR,Canceled by guest,"Apr 5, 2023","Apr 10, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-207,Room-207,HM3JZQ8YY2,Canceled by guest,"Apr 4, 2023","Apr 9, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-221,Room-221,HMD85PMAXC,Canceled by guest,"Apr 3, 2023","Apr 8, 2023",298.75
Beach Front*Sleep4*WIFI*Security*Laundry*Room-218,Room-218,HM3RTZ3B5Z,Canceled by guest,"Apr 3, 2023","Apr 8, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMR3XAYYQK,Canceled by Airbnb,"Mar 26, 2023","Mar 28, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HM8KM9S8N5,Canceled by guest,"Mar 26, 2023","Mar 27, 2023",56.74
Beach Front* Scooter* WIFI* Laundry* Room-203, Room-203,HMNTREEDFY,Canceled by you,"Mar 25, 2023","Mar 26, 2023",50.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-218,Room-218,HMWP3KRN8H,Canceled by guest,"Mar 24, 2023","Mar 30, 2023",313.08
Beach Front*Sleep4*WIFI*Security*Laundry*Room-109,Room-109,HMJRQ35SRB,Canceled by guest,"Mar 24, 2023","Mar 26, 2023",178.85
OceanView*BeachFront*Sleep4*Full Kitchen*Room-110,Room-110,HM2YTAASD8,Canceled by guest,"Mar 24, 2023","Mar 26, 2023",113.70
Beach Front*Sleep4*WIFI*Security*Laundry*Room-219,Room-219,HMJ9DDNZM9,Canceled by guest,"Mar 24, 2023","Mar 26, 2023",184.26
Beach Front*Sleep4*WiFi*Security*Laundry*Room-115,Room-115,HMRMDQQY5R,Canceled by guest,"Mar 24, 2023","Mar 26, 2023",162.38
Beach Front* Scooter* Sleep4* Kitchen* Room-124, Room-124,HMW9P252DW,Canceled by guest,"Mar 24, 2023","Mar 25, 2023",41.22
Beach Front*Sleep4*WIFI*Security*Laundry*Room-125,Room-125,HMDK25N4D9,Canceled by guest,"Mar 24, 2023","Mar 25, 2023",41.22
Beach Front*Sleep4*WiFi*Security*Laundry*Room-115,Room-115,HM5JRRMXFH,Canceled by Airbnb,"Mar 24, 2023","Mar 25, 2023",0.00
Ocean View*Beach Front*Sleep2*Laundry*Room-117,Room-117,HMF4HEYZ3E,Canceled by guest,"Mar 23, 2023","Mar 25, 2023",114.46
Beach Front* Scooter* Laundry* WIFI Room-225, WIFI Room-225,HM89SNJEKR,Canceled by guest,"Mar 17, 2023","Mar 19, 2023",130.95
Beach Front*Sleep4*Full Kitchen*Laundry*Room-206,Room-206,HMP5TK33NE,Canceled by Airbnb,"Mar 12, 2023","Mar 13, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HMPMMY8NMA,Canceled by guest,"Mar 11, 2023","Mar 12, 2023",109.12
OceanView*Beach Front*Sleep2*Laundry*Room-215,Room-215,HMHMRM8PAS,Canceled by Airbnb,"Mar 10, 2023","Mar 12, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-221,Room-221,HMQM5BCNE2,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-125,Room-125,HMRWKAWHQD,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMQWS4HCT2,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
Ocean View*Beach Front*Sleep4*Laundry*Room-212,Room-212,HMQA2Z459Q,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-227,Room-227,HMKRN8YBKD,Canceled by guest,"Mar 9, 2023","Mar 12, 2023",0.00
BeachFront* Scooter*Kitchen*WIFI*laundry Room-104,laundry Room-104,HMKPKESAXM,Canceled by Airbnb,"Mar 9, 2023","Mar 12, 2023",0.00
OceanView*BeachFront*Sleep4*Full Kitchen*Room-211,Room-211,HMCPJW45PJ,Canceled by guest,"Mar 9, 2023","Mar 12, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-224,Room-224,HMQ5H4SBNX,Canceled by guest,"Mar 9, 2023","Mar 12, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HM38XZ53ER,Canceled by guest,"Mar 8, 2023","Mar 13, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HM48DMH4BC,Canceled by Airbnb,"Mar 8, 2023","Mar 12, 2023",0.00
Beach Front* Scooter* WIFI* Laundry* Room-203, Room-203,HMYA9JPKYR,Canceled by guest,"Mar 8, 2023","Mar 12, 2023",0.00
OceanView* BeachFront* Scooter* Kitchen* Room-217, Room-217,HMZ9J5A28J,Canceled by guest,"Mar 8, 2023","Mar 11, 2023",0.00
OceanView*BeachFront*Sleep4*Full Kitchen*Room-210,Room-210,HMESQ9BQZQ,Canceled by guest,"Mar 7, 2023","Mar 12, 2023",0.00
Ocean View*Beach Front*Sleep4*Laundry*Room-214,Room-214,HMY8KQXDHK,Canceled by guest,"Mar 7, 2023","Mar 8, 2023",0.00
