listing name,room,confirmation,status,check in,check out,total payout
Beach Front*Sleep2*WIFI*Security*Laundry*Room-118,Room-118,HMRQNAMJXE,Currently hosting,"Mar 24, 2023","Apr 11, 2023","1,275.91"
OceanView*BeachFront*Sleep4*Full Kitchen*Room-110,Room-110,HMEXW9BDDT,Currently hosting,"Mar 29, 2023","Apr 5, 2023",481.12
Beach Front*Sleep4*WIFI*Security*Laundry*Room-122,Room-122,HMPYTFSZB8,Review guest,"Mar 30, 2023","Apr 3, 2023",339.15
Beach Front*Sleep4*WIFI*Security*Laundry*Room-116,Room-116,HM8SHDFEN4,Currently hosting,"Mar 30, 2023","Apr 4, 2023",354.92
Beach Front*Sleep4*WIFI*Security*Laundry*Room-224,Room-224,HMQQATHSKS,Currently hosting,"Mar 30, 2023","Apr 4, 2023",347.01
Beach Front*Sleep4*WIFI*Security*Laundry*Room-109,Room-109,HMRB9BHHCF,Review guest,"Mar 31, 2023","Apr 3, 2023",252.37
Beach Front*Sleep4*Full Kitchen*Laundry*Room-120,Room-120,HMK4P83RQD,Review guest,"Mar 31, 2023","Apr 3, 2023",252.37
Beach Front*Sleep4*WIFI*Security*Laundry*Room-221,Room-221,HMJZ3B5CTT,Review guest,"Mar 31, 2023","Apr 3, 2023",252.37
Beach Front*Sleep4*WIFI*Security*Laundry*Room-227,Room-227,HMXSTDWRE3,Currently hosting,"Mar 31, 2023","Apr 4, 2023",273.25
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMYXFPNYHP,Currently hosting,"Mar 31, 2023","Apr 5, 2023",342.43
Beach Front*Sleep4*WIFI*Security*Laundry*Room-123,Room-123,HM8MAHEWFX,Currently hosting,"Mar 31, 2023","Apr 5, 2023",348.11
Beach Front*Sleep4*WIFI*Security*Laundry*Room-219,Room-219,HMPTJDPQP5,Trip change sent,"Mar 31, 2023","Apr 7, 2023",547.68
Ocean View*Beach Front*Sleep4*Laundry*Room-212,Room-212,HMFQNMA8EK,Review guest,"Apr 1, 2023","Apr 3, 2023",143.64
Ocean View*Beach Front*Sleep4*Laundry*Room-214,Room-214,HM5PJ3CSSC,Trip change sent,"Apr 1, 2023","Apr 3, 2023",112.91
Beach Front*Sleep4*Full Kitchen*Laundry*Room-206,Room-206,HM24KDE9J2,Currently hosting,"Apr 1, 2023","Apr 5, 2023",383.15
Beach Front* Scooter* WIFI* Laundry* Room-203, Room-203,HM2PQD4B3Z,Currently hosting,"Apr 1, 2023","Apr 5, 2023",293.41
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HMJQAPJKS4,Currently hosting,"Apr 2, 2023","Apr 4, 2023",186.24
BeachFront* Scooter* WIFI* Laundry* Room-119, Room-119,HMD2ZDCXQ2,Currently hosting,"Apr 2, 2023","Apr 4, 2023",140.65
OceanView* BeachFront* scooter* Kitchen*Room-111,Room-111,HMR4DWWSKY,Currently hosting,"Apr 2, 2023","Apr 4, 2023",108.25
OceanView* BeachFront* Scooter* Kitchen* Room-217, Room-217,HMX53XJNN5,Currently hosting,"Apr 2, 2023","Apr 4, 2023",150.00
Ocean View*Beach Front*Sleep4*Laundry*Room-213,Room-213,HMKE5BZMW8,Currently hosting,"Apr 2, 2023","Apr 5, 2023",218.01
Beach Front*Sleep4*WIFI*Security*Laundry*Room-223,Room-223,HMC2WSDCMT,Currently hosting,"Apr 2, 2023","Apr 7, 2023",390.10
Beach Front*Sleep4*WIFI*Security*Laundry*Room-105,Room-105,HM499C4S2K,Currently hosting,"Apr 2, 2023","Apr 9, 2023",567.49
Ocean View*Beach Front*Sleep4*Laundry*Room-212,Room-212,HMZRMA4YRY,Currently hosting,"Apr 3, 2023","Apr 5, 2023",203.70
Ocean View*Beach Front*Sleep4*Laundry*Room-216,Room-216,HMB5XP5QSY,Currently hosting,"Apr 3, 2023","Apr 7, 2023",460.79
Beach Front*Sleep4*WIFI*Security*Laundry*Room-226,Room-226,HMAZQJT9FX,Currently hosting,"Apr 3, 2023","Apr 7, 2023",360.84
Beach Front*Sleep4*WIFI*Security*Laundry*Room-122,Room-122,HM4H9YDK4Q,Currently hosting,"Apr 3, 2023","Apr 7, 2023",303.80
Beach Front*Sleep4*WIFI*Security*Laundry*Room-224,Room-224,HMFBSMNEBT,Arriving tomorrow,"Apr 4, 2023","Apr 9, 2023",488.97
OceanView* BeachFront* Scooter* Kitchen* Room-217, Room-217,HMRQAZYKBS,Arriving tomorrow,"Apr 4, 2023","Apr 9, 2023",561.16
Beach Front*Sleep4*Full Kitchen*Laundry*Room-120,Room-120,HM8AYT5EHX,Arriving tomorrow,"Apr 4, 2023","Apr 9, 2023",428.29
Beach Front*Sleep4*WIFI*Security*Laundry*Room-109,Room-109,HM4C9JFSZP,Arriving tomorrow,"Apr 4, 2023","Apr 10, 2023",524.28
Beach Front*Sleep4*WIFI*Security*Laundry*Room-116,Room-116,HMTZ9JRRCC,Arriving in 2 days,"Apr 5, 2023","Apr 7, 2023",173.47
Beach Front*Sleep4*Full Kitchen*Laundry*Room-206,Room-206,HMEEK9YMEQ,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",544.65
Beach Front* Scooter* WIFI* Laundry* Room-203, Room-203,HMH3M9DAJT,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",303.79
OceanView*BeachFront*Sleep4*Full Kitchen*Room-110,Room-110,HMN43TSXYM,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",353.78
Beach Front*Sleep4*WIFI*Security*Laundry*Room-123,Room-123,HMEAMWMCM3,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",302.89
BeachFront* Scooter* WIFI* Laundry* Room-119, Room-119,HMC48KKFFW,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",302.89
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMHQD9WBQR,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",604.47
Beach Front*Sleep4*WiFi*Security*Laundry*Room-115,Room-115,HMKJPBSNTA,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",479.53
Beach Front*Sleep4*WIFI*Security*Laundry*Room-218,Room-218,HMRNCJJR54,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",479.53
