listing name,room,confirmation,status,check in,check out,total payout
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMCE5K4DCM,Canceled by guest,"Apr 15, 2023","Apr 17, 2023",0.00
Scooter*Beachfront*KingBed*Renovated*Grill*Room104,Room104,HMFFBMDJ5Z,Canceled by guest,"Apr 6, 2023","Apr 9, 2023",0.00
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMT3WRAH2H,Canceled by guest,"Apr 2, 2023","Apr 8, 2023",0.00
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMD4XM453C,Canceled by Airbnb,"Apr 2, 2023","Apr 4, 2023",0.00
*Beachfront*Scooter*Sleep5*KingBed*Grill*Room-112,Room-112,HMSMJWYNZ3,Canceled by Airbnb,"Mar 27, 2023","Mar 28, 2023",0.00
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HMNSQADJPF,Canceled by guest,"Mar 26, 2023","Mar 31, 2023",272.38
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMR92DX5MQ,Canceled by guest,"Mar 19, 2023","Mar 20, 2023",0.00
Scooter*Beachfront*FullBed*Grill*Room107,Room107,HM2YCQ3QZA,Canceled by guest,"Mar 18, 2023","Mar 19, 2023",0.00
Scooter*Sleep4*BeachAccess*2KingBeds*Grill*Room117,Room117,HMWHS88ZJZ,Canceled by guest,"Mar 18, 2023","Mar 19, 2023",72.75
Scooter*Beachfront*KingBed*Renovated*Grill*Room102,Room102,HMJZWRFA4W,Canceled by guest,"Mar 17, 2023","Mar 19, 2023",188.99
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMFQ8SYDZ4,Canceled by guest,"Mar 13, 2023","Mar 16, 2023",244.93
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HMCHNEMB22,Canceled by Airbnb,"Mar 12, 2023","Mar 18, 2023",0.00
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HMSSAJNFX3,Canceled by Airbnb,"Mar 11, 2023","Mar 12, 2023",0.00
Scooter*Beachfront*KingBed*Renovated*Grill*Room108,Room108,HMSB9DEYJS,Canceled by guest,"Mar 10, 2023","Mar 14, 2023",0.00
Scooter*BeachAccess*Sleep5*KingBed*Grill*Room-119,Room-119,HM3BF398ZM,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
