listing name,room,confirmation,status,check in,check out,total payout
Scooter*Beachfront*KingBed*Grill*Room110,Room110,HMWZQ8NX5D,Review guest,"Mar 31, 2023","Apr 2, 2023",162.90
Scooter*BeachAccess*Sleep5*KingBed*Grill*Room-119,Room-119,HMECX9REPX,Review guest,"Mar 31, 2023","Apr 2, 2023",349.35
Scooter*Beachfront*KingBed*Renovated*Grill*Room104,Room104,HMBWTZ2KQF,Review guest,"Mar 31, 2023","Apr 2, 2023",233.43
Scooter*Beachfront*FullBed*Grill*Room107,Room107,HMYPBQXECJ,Review guest,"Mar 31, 2023","Apr 2, 2023",162.90
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HM8TNWZ8HY,Review guest,"Mar 31, 2023","Apr 2, 2023",246.06
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMNXAWXSHS,Review guest,"Mar 31, 2023","Apr 2, 2023",305.60
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HMJP53CXJF,Review guest,"Mar 31, 2023","Apr 1, 2023",232.80
Scooter*Beachfront*KingBed*Renovated*Grill*Room106,Room106,HM8FANXEA8,Review guest,"Mar 26, 2023","Mar 29, 2023",314.85
Scooter*Beachfront*FullBed*Grill*Room107,Room107,HMFKYKB4QN,Review guest - Expires soon,"Mar 25, 2023","Mar 27, 2023",167.23
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HM4XM9TKXP,Review guest - Expires soon,"Mar 23, 2023","Mar 27, 2023",859.34
Scooter*Beachfront*KingBed*Renovated*Grill*Room106,Room106,HM3YYENBBJ,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",234.33
Ocean View*Scooter*Beachfront*Room101,Room101,HMYPFEXRME,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",173.42
*Beachfront*Scooter*Sleep5*KingBed*Grill*Room-112,Room-112,HMJJHY5M4D,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",234.33
Scooter*Beachfront*KingBed*Grill*Room110,Room110,HMBXWN5EXD,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",174.65
Scooter*Sleep4*BeachAccess*2KingBeds*Grill*Room117,Room117,HMKHPN5D5B,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",234.33
Scooter*Beachfront*KingBed*Renovated*Grill*Room102,Room102,HMJF32TRHH,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",283.95
Scooter*BeachAccess*Sleep5*KingBed*Grill*Room-119,Room-119,HM3P95DXNA,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",390.84
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMAPFNY582,Review guest - Expires soon,"Mar 25, 2023","Mar 26, 2023",231.83
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HMES8WMWJ4,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",348.23
Scooter*Beachfront*KingBed*Renovated*Grill*Room102,Room102,HMPR55RCNX,Review guest - Expires soon,"Mar 22, 2023","Mar 24, 2023",140.07
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HM4QCPQZFY,Review guest - Expires soon,"Mar 20, 2023","Mar 24, 2023",478.79
Scooter*BeachAccess*Sleep5*KingBed*Grill*Room-119,Room-119,HM553TE9NF,Review guest - Expires soon,"Mar 22, 2023","Mar 23, 2023",97.00
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMTDHY3NSD,Review guest - Expires soon,"Mar 21, 2023","Mar 23, 2023",154.42
Scooter*Beachfront*KingBed*Renovated*Grill*Room102,Room102,HMZTKMR8RW,Past guest,"Mar 18, 2023","Mar 20, 2023",283.84
*Beachfront*Scooter*Sleep5*KingBed*Grill*Room-112,Room-112,HME345MZE8,Past guest,"Mar 18, 2023","Mar 19, 2023",153.26
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMBKNE4CPW,Past guest,"Mar 18, 2023","Mar 19, 2023",118.34
Scooter*Sleep4*BeachAccess*2KingBeds*Grill*Room117,Room117,HMNXNFNEJN,Past guest,"Mar 18, 2023","Mar 19, 2023",111.55
Scooter*BeachAccess*Sleep5*KingBed*Grill*Room-119,Room-119,HMWBY84ZWN,Past guest,"Mar 17, 2023","Mar 19, 2023",353.86
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMWT9XECFF,Past guest,"Mar 17, 2023","Mar 19, 2023",283.05
3BR2BA*OceanView *BeachAccess*Grill *King*Room-109,Room-109,HMFNHX82B3,Past guest,"Mar 14, 2023","Mar 19, 2023","1,356.74"
Ocean View*Scooter*Beachfront*Room101,Room101,HM5W4S5SFM,Past guest,"Mar 17, 2023","Mar 18, 2023",118.34
