listing name,room,confirmation,status,check in,check out,total payout
BeachFront*2 Full*WIFI*Security*Laundry*Room-132,Room-132,HMCP8WKY2S,Canceled by guest,"Apr 6, 2023","Apr 8, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-132,Room-132,HMR8T8T94D,Canceled by guest,"Apr 5, 2023","Apr 8, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-137,Room-137,HM5DAZ2CYH,Canceled by guest,"Mar 25, 2023","Apr 1, 2023",374.69
BeachFront*2 Full*WIFI*Security*Laundry*Room-117,Room-117,HM2RJ9NCHQ,Canceled by guest,"Mar 17, 2023","Mar 18, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HMXPFN8JWK,Canceled by guest,"Mar 10, 2023","Mar 16, 2023",641.65
BeachFront*2 full*WIFI*Security*Laundry*Room-122,Room-122,HMWBJ4T2CD,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-136,Room-136,HMEDBQEA9E,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-137,Room-137,HMJDYRD2MB,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",363.75
BeachFront*2 Full*WIFI*Security*Laundry*Room- 110,Room- 110,HMN3H9NBD8,Canceled by Airbnb,"Mar 10, 2023","Mar 12, 2023",0.00
Discard-108,Discard-108,HMBSY43ZDK,Canceled by guest,"Mar 10, 2023","Mar 12, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-136,Room-136,HMX9N8THNE,Canceled by Airbnb,"Mar 10, 2023","Mar 11, 2023",0.00
BeachFront*2 full*WIFI*Security*Laundry*Room-118,Room-118,HMRHFM3SH9,Canceled by guest,"Mar 9, 2023","Mar 12, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-112,Room-112,HMRFKK5YHH,Canceled by guest,"Mar 9, 2023","Mar 12, 2023",612.31
BeachFront*2 Full*WIFI*Security*Laundry*Room-117,Room-117,HMWQSCPN5W,Canceled by guest,"Mar 5, 2023","Mar 7, 2023",0.00
BeachFront*1 King 2 full*Security*Laundry*Room-123,Room-123,HM5E5B54AF,Canceled by guest,"Mar 4, 2023","Mar 11, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HMDMKJXZEQ,Canceled by guest,"Feb 25, 2023","Feb 27, 2023",0.00
Discard-108,Discard-108,HMDK43NMAB,Canceled by guest,"Feb 25, 2023","Feb 26, 2023",69.84
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HMAR4SRHFT,Canceled by guest,"Feb 18, 2023","Feb 20, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-134,Room-134,HME5ZBCBFY,Canceled by guest,"Feb 18, 2023","Feb 19, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-105,Room-105,HM3YAQNZHQ,Canceled by guest,"Feb 17, 2023","Feb 20, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-121,Room-121,HMDYD8DM4E,Canceled by guest,"Feb 17, 2023","Feb 19, 2023",327.37
BeachFront*1 King*WIFI*Security*Laundry*Room-111,Room-111,HMRXRKQQN3,Canceled by guest,"Feb 17, 2023","Feb 18, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HMJ2CN53J3,Canceled by guest,"Feb 15, 2023","Feb 20, 2023",0.00
StreetFront*2 Full*WIFI*Security*Laundry*Room-138,Room-138,HM3WFY43CE,Canceled by guest,"Feb 11, 2023","Feb 12, 2023",67.90
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMTE8BWWBZ,Canceled by Airbnb,"Feb 11, 2023","Feb 12, 2023",0.00
StreetFront*2 Full*WIFI*Security*Laundry*Room-138,Room-138,HMF494W8TE,Canceled by guest,"Feb 10, 2023","Feb 12, 2023",56.26
BeachFront*2 Full*WIFI*Security*Laundry*Room-131,Room-131,HM2H4YE8Z5,Canceled by guest,"Jan 27, 2023","Jan 29, 2023",292.94
BeachFront*1 King*WIFI*Security*Laundry*Room-101,Room-101,HMDQYJTMMZ,Canceled by guest,"Jan 27, 2023","Jan 29, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-117,Room-117,HMSPCJ9RKD,Canceled by Airbnb,"Jan 27, 2023","Jan 29, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-102,Room-102,HME33ES9DS,Canceled by guest,"Jan 27, 2023","Jan 28, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-121,Room-121,HM2DWWE5MR,Canceled by guest,"Jan 26, 2023","Jan 30, 2023",374.81
StreetFront*2 Full*WIFI*Security*Laundry*Room-138,Room-138,HME85QXP4X,Canceled by Airbnb,"Jan 26, 2023","Jan 27, 2023",0.00
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HMWEZSBKQE,Canceled by guest,"Jan 25, 2023","Jan 29, 2023",470.26
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HMWQ8PYFTM,Canceled by Airbnb,"Jan 15, 2023","Jan 17, 2023",0.00
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HM2HBXD8QA,Canceled by guest,"Jan 13, 2023","Jan 15, 2023",0.00
BeachFront*2 Full*WIFI*Security*Laundry*Room- 110,Room- 110,HM4ZWZRMKB,Canceled by guest,"Jan 13, 2023","Jan 15, 2023",29.10
