listing name,room,confirmation,status,check in,check out,total payout
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HM9EWTY9Z8,Review guest - Expires soon,"Mar 25, 2023","Mar 27, 2023",180.13
BeachFront*2 Full*WIFI*Security*Laundry*Room-112,Room-112,HMCNEJAYAD,Review guest - Expires soon,"Mar 24, 2023","Mar 27, 2023",291.16
BeachFront*2 Full*WIFI*Security*Laundry*LBO-124,LBO-124,HM84MXKTSY,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",199.39
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room-130,Room-130,HMEAKD88PP,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",178.09
Ocean View*BeachFront*1 King*WIFI*Laundry*Room 107,Room 107,HMRYW8QQZ5,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",178.09
BeachFront*1 King 2 full*Security*Laundry*Room-123,Room-123,HMPJBHMXQS,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",205.91
BeachFront*1 King*WIFI*Security*Laundry*Room-101,Room-101,HMA2QZXS99,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",196.89
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HMYPJZ2ZCM,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",201.33
BeachFront*1 King*WIFI*Security*Laundry*Room-114,Room-114,HMZMT59ZA5,Review guest - Expires soon,"Mar 25, 2023","Mar 26, 2023",102.49
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room 108,Room 108,HMT58FZRZY,Review guest - Expires soon,"Mar 24, 2023","Mar 26, 2023",200.10
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HMY25AJ2RQ,Review guest - Expires soon,"Mar 23, 2023","Mar 26, 2023",297.48
BeachFront*2 Full*WIFI*Security*Laundry*Room-139,Room-139,HME85NTHCC,Review guest - Expires soon,"Mar 24, 2023","Mar 25, 2023",96.03
BeachFront*1 King*WIFI*Security*Laundry*Room-105,Room-105,HMHJYHY5PE,Trip change sent,"Mar 24, 2023","Mar 25, 2023",96.03
BeachFront*1 King*WIFI*Security*Laundry*Room-121,Room-121,HMKRHFFPTY,Review guest - Expires soon,"Mar 24, 2023","Mar 25, 2023",96.03
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HMSW5Y4H8K,Review guest - Expires soon,"Mar 24, 2023","Mar 25, 2023",96.03
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HMSEA8HC58,Review guest - Expires soon,"Mar 24, 2023","Mar 25, 2023",96.03
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HMC84D59BM,Review guest - Expires soon,"Mar 23, 2023","Mar 25, 2023",193.57
