listing name,room,confirmation,status,check in,check out,total payout
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room-130,Room-130,HMZEEH8K8A,Review guest,"Apr 1, 2023","Apr 3, 2023",170.53
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HMRDNJCM4Y,Currently hosting,"Apr 2, 2023","Apr 8, 2023",537.38
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room 108,Room 108,HMZS3AWPAT,Arriving tomorrow,"Apr 4, 2023","Apr 8, 2023",537.88
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HMBZSXCNXD,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",394.00
Ocean View*BeachFront*1 King*WIFI*Laundry*Room 107,Room 107,HMM8KY5MWH,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",414.39
BeachFront*2 Full*WIFI*Security*Laundry*LBO-124,LBO-124,HMQPQFHFYT,Arriving in 2 days,"Apr 5, 2023","Apr 8, 2023",311.91
BeachFront*2 Full*WIFI*Security*Laundry*Room-117,Room-117,HMWHQ54BJM,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",413.49
BeachFront*2 Full*WIFI*Security*Laundry*Room-132,Room-132,HMZ94YYY8M,Arriving in 3 days,"Apr 6, 2023","Apr 9, 2023",358.82
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HMF2K3JEND,Arriving in 3 days,"Apr 6, 2023","Apr 9, 2023",321.84
BeachFront*2 Full*WIFI*Security*Laundry*Room-139,Room-139,HMN3DBDE2J,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",204.72
BeachFront*2 Full*WIFI*Security*Laundry*Room-132,Room-132,HMZSPZ8RMS,Confirmed,"Apr 28, 2023","Apr 30, 2023",268.69
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HMMX89E5MC,Confirmed,"May 4, 2023","May 7, 2023",310.11
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room 108,Room 108,HM4FJYWEPP,Confirmed,"May 17, 2023","May 22, 2023",895.89
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HMK9QTNSQC,Confirmed,"May 20, 2023","May 22, 2023",439.41
