listing name,room,confirmation,status,check in,check out,total payout
Scooter*Beachfront*KingBed*Grill*Room110,Room110,HMWZQ8NX5D,Review guest,"Mar 31, 2023","Apr 2, 2023",162.90
Scooter*BeachAccess*Sleep5*KingBed*Grill*Room-119,Room-119,HMECX9REPX,Review guest,"Mar 31, 2023","Apr 2, 2023",349.35
Beach Front*Sleep4*WIFI*Security*Laundry*Room-125,Room-125,HM4SBYCR3N,Review guest,"Mar 31, 2023","Apr 2, 2023",169.83
Scooter*Beachfront*KingBed*Renovated*Grill*Room104,Room104,HMBWTZ2KQF,Review guest,"Mar 31, 2023","Apr 2, 2023",233.43
Ocean View*Beach Front*Sleep4*Laundry*Room-216,Room-216,HMR32BKRSD,Review guest,"Mar 31, 2023","Apr 2, 2023",119.89
Scooter*Beachfront*FullBed*Grill*Room107,Room107,HMYPBQXECJ,Review guest,"Mar 31, 2023","Apr 2, 2023",162.90
Beach Front*Sleep4*WIFI*Security*Laundry*Room-207,Room-207,HMBCPT8RKW,Review guest,"Mar 31, 2023","Apr 2, 2023",169.83
OceanView*BeachFront*Sleep4*Full Kitchen*Room-211,Room-211,HM2A9C3SZ8,Review guest,"Mar 31, 2023","Apr 2, 2023",119.89
OceanView* BeachFront* scooter* Kitchen*Room-111,Room-111,HMWTJBQ3ZH,Review guest,"Mar 31, 2023","Apr 2, 2023",119.89
Ocean View*Beach Front*Sleep2*Laundry*Room-117,Room-117,HMBST9TDW5,Review guest,"Mar 31, 2023","Apr 2, 2023",119.89
Beach Front*Sleep4*WIFI*Security*Laundry*Room-121,Room-121,HMW93XABAD,Review guest,"Mar 31, 2023","Apr 2, 2023",169.83
OceanView*Beach Front*Sleep2*Laundry*Room-215,Room-215,HM2ABKW4QN,Review guest,"Mar 31, 2023","Apr 2, 2023",169.36
Sleep 5* Luxury* Balcony *NewlyRenovated* 15J, 15J,HMZMMW45XP,Review guest,"Mar 31, 2023","Apr 2, 2023",272.91
Beach Front*Sleep4*WIFI*Security*Laundry*Room-107,Room-107,HMMAPFM3RF,Review guest,"Mar 31, 2023","Apr 2, 2023",173.44
Beach Front*Sleep4*WiFi*Security*Laundry*Room-202,Room-202,HMCQEY9JCC,Review guest,"Mar 31, 2023","Apr 2, 2023",180.65
Beach Front*Sleep4*WiFi*Security*Laundry*Room-115,Room-115,HM8PFPAQKA,Review guest,"Mar 31, 2023","Apr 2, 2023",184.26
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HM8TNWZ8HY,Review guest,"Mar 31, 2023","Apr 2, 2023",246.06
OceanView* BeachFront* Scooter* Kitchen* Room-217, Room-217,HM2FXWK898,Review guest,"Mar 31, 2023","Apr 2, 2023",180.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-126,Room-126,HMPWH32PMN,Review guest,"Mar 31, 2023","Apr 2, 2023",192.38
Ocean View*Beach Front*Sleep2*Laundry*Room-112,Room-112,HMKESFBENN,Review guest,"Mar 31, 2023","Apr 2, 2023",180.00
Beach Front* Scooter* Laundry* WIFI Room-225, WIFI Room-225,HM4PMNWRSE,Review guest,"Mar 30, 2023","Apr 2, 2023",265.00
BeachFront* scooter* Kitchen* Laundry Room-108, Laundry Room-108,HMBAWYTFAT,Review guest,"Mar 31, 2023","Apr 2, 2023",178.85
Luxury* Balcony w/CityView* NewlyRenovated* 6N, 6N,HM9XX2K228,Review guest,"Mar 31, 2023","Apr 2, 2023",310.80
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HMZJXKQNHS,Review guest,"Mar 30, 2023","Apr 2, 2023",356.76
*BeachAccess*Scooter*Sleep5*KingBed*Grill*Room-118,Room-118,HMNXAWXSHS,Review guest,"Mar 31, 2023","Apr 2, 2023",305.60
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HM3XFJ3A2C,Trip change sent,"Mar 26, 2023","Apr 2, 2023",512.57
Luxury Jacuzzi in-room* WIFI* Fireplace* Deck*Elsa,Elsa,HMTYQ8KRKT,Review guest,"Mar 28, 2023","Apr 2, 2023",577.07
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMFSETYDAX,Review guest,"Mar 28, 2023","Apr 2, 2023",414.71
Ocean View*Beach Front*Sleep4*Laundry*Room-213,Room-213,HM3ATCJCKA,Review guest,"Mar 31, 2023","Apr 2, 2023",237.46
Beach Front*Sleep4*WIFI*Security*Laundry*Room-218,Room-218,HMMQP3FBQW,Review guest,"Mar 30, 2023","Apr 2, 2023",0.00
Sleep 5| Pet&amp;Baby| Office with Door| Laundry ctb,Sleep 5| Pet&amp;Baby| Office with Door| Laundry ctb,HMWJNBB34Z,Review guest,"Mar 31, 2023","Apr 2, 2023",339.89
Luxury* Balcony w/CityView* NewlyRenovated* 10H, 10H,HMSA5Y4K2C,Review guest,"Mar 25, 2023","Apr 2, 2023",695.06
