listing name,room,confirmation,status,check in,check out,total payout
Sleep6*King*Renovated*PrivateBackyard*Downtown*L38,L38,HMK8FQ5XHS,Currently hosting,"Feb 26, 2023","Apr 7, 2023",0.00
Luxury*HighRise w/ PrivateBalcony*BestLocation*22A,22A,HMCNEA2QNH,Currently hosting,"Feb 26, 2023","Apr 22, 2023","3,953.47"
Sleeps8* Luxury* Backyard* NewlyRenovated* L78, L78,HMFXQEYMD2,Currently hosting,"Feb 28, 2023","Apr 30, 2023","5,001.31"
2 King Beds*Sleeps 8*Pool Table*Laundry*Luxury hdh,Luxury hdh,HM4Q4S9NJ5,Currently hosting,"Mar 3, 2023","Apr 8, 2023","4,463.51"
Sleep 5| Pet| Parking| Laundry| Monthly Stay ctd,Sleep 5| Pet| Parking| Laundry| Monthly Stay ctd,HM2BKX5TAR,Review guest,"Mar 6, 2023","Apr 3, 2023","1,887.58"
KingBed|Sleeps 7|Backyard|Laundry|Truist Park lfl,KingBed|Sleeps 7|Backyard|Laundry|Truist Park lfl,HMRBT9YE9K,Currently hosting,"Mar 10, 2023","Apr 21, 2023","2,785.84"
Luxury*Balcony w/CityView*NewlyRenovated*DTWN 20M,DTWN 20M,HM95KB8HWB,Currently hosting,"Mar 14, 2023","Apr 11, 2023","2,077.70"
Beach Front*Sleep2*WIFI*Security*Laundry*Room-118,Room-118,HMRQNAMJXE,Currently hosting,"Mar 24, 2023","Apr 11, 2023","1,275.91"
Luxury*Balcony w/CityView*NewlyRenovated*DTWN 21M,DTWN 21M,HMCF5C2WCX,Review guest,"Mar 25, 2023","Apr 3, 2023",703.23
Luxury*Balcony w/CityView*NewlyRenovated*DTWN 19M,DTWN 19M,HM34AMMAFW,Trip change requested,"Mar 29, 2023","Apr 3, 2023",634.57
1Mile to Emory |2Min to Shuttle Stop| bvl,1Mile to Emory |2Min to Shuttle Stop| bvl,HMSWRF95A8,Currently hosting,"Mar 29, 2023","Apr 5, 2023",645.24
